"","scientific_name","record_number","phenology","image","day","month","year","collection_date","julian_date","ordinal_date","site","subsite","elevation_m","latitude","longitude","source","data_type","tmean.avg","ppt.mean","season","season_label","seasonYear"
"1","Artemisia scopulorum","170","flower","","13",8,1912,"1912-08-13",1912226,226,"PP","PP2",3962,"38.838681",-105.0439,"DBG","specimen",46.63333333,3.36,"summer","summer18",18
"2","Artemisia scopulorum","5403","flower","","25",8,1915,"1915-08-25",1915237,237,"PP","PP1",4299,"38.84058",-105.04459,"RM","specimen",43.73333333,6.673333333,"summer","summer21",21
"3","Artemisia scopulorum","s.n.","flower","","3",8,1920,"1920-08-03",1920216,216,"PP","PP5",3643,"38.814444",-105.02111,"USU","specimen",39.5,6.713333333,"summer","summer26",26
"4","Artemisia scopulorum","7","flower","","17",7,1923,"1923-07-17",1923198,198,"PP","PP5",3657,"38.814033",-105.02154,"COLO","specimen",47.33333333,6.586666667,"summer","summer29",29
"5","Artemisia scopulorum","440","flower","","19",7,1931,"1931-07-19",1931200,200,"PP","PP5",3505,"38.84054",-105.04443,"COLO","specimen",48.33333333,2.58,"summer","summer37",37
"6","Artemisia scopulorum","7244","flower","","15",7,1932,"1932-07-15",1932197,197,"PP","PP4",3956,"38.844797",-105.043,"NY","specimen",50,4.283333333,"summer","summer38",38
"7","Artemisia scopulorum","1198","flower","","20",7,1935,"1935-07-20",1935201,201,"PP","PP5",3648,"38.87",-105.07,"CS","specimen",49.2,2.456666667,"summer","summer41",41
"8","Artemisia scopulorum","8490","flower","","4",8,1942,"1942-08-04",1942216,216,"MBS","MBS2",3962,"39.597327",-105.64102,"COLO","specimen",48.13333333,1.836666667,"summer","summer48",48
"9","Artemisia scopulorum","15118","flower","","29",7,1943,"1943-07-29",1943210,210,"PP","PP2",3962,"38.814421",-105.02165,"COLO","specimen",48.56666667,4.286666667,"summer","summer49",49
"10","Artemisia scopulorum","MG-69","flower","","15",7,1961,"1961-07-15",1961196,196,"MBS","MBS4",3688,"39.62",-105.59,"CS","specimen",48.56666667,4.733333333,"summer","summer67",67
"11","Artemisia scopulorum","ME-2","flower","","26",8,1961,"1961-08-26",1961238,238,"MBS","MBS1",4267,"39.58861",-105.64278,"DBG","specimen",47.96666667,5.116666667,"summer","summer67",67
"12","Artemisia scopulorum","14","flower","","3",7,1963,"1963-07-03",1963184,184,"PP","PP4",3932,"38.85714",-105.06435,"COLO","specimen",49.06666667,4.526666667,"summer","summer69",69
"13","Artemisia scopulorum","117","flower","","13",7,1963,"1963-07-13",1963194,194,"MBS","MBS3",3909,"39.598353",-105.64432,"GREE","specimen",51.6,2.583333333,"summer","summer69",69
"14","Artemisia scopulorum","2895","flower","","21",8,1964,"1964-08-21",1964234,234,"MBS","MBS1",4267,"39.58",-105.64,"CS","specimen",44.63333333,2.19,"summer","summer70",70
"15","Artemisia scopulorum","171","flower","","15",7,1968,"1968-07-15",1968197,197,"MBS","MBS1",4327,"39.588228",-105.64372,"GREE","specimen",47.86666667,3.42,"summer","summer74",74
"16","Artemisia scopulorum","s.n.","flower","","19",6,1977,"1977-06-19",1977170,170,"MBS","MBS4",3680,"39.638802",-105.5982,"DBG","specimen",47.1,1.466666667,"summer","summer83",83
"17","Artemisia scopulorum","112","flower","","9",7,1978,"1978-07-09",1978190,190,"PP","PP4",3814,"38.905024",-105.018569,"COCO","specimen",49.43333333,4.97,"summer","summer84",84
"18","Artemisia scopulorum","2952.1","flower","","27",6,2009,"2009-06-27",2009178,178,"PP","PP5",3522,"38.812181",-105.03326,"DBG","specimen",42.76666667,3.933333333,"summer","summer115",115
"19","Artemisia scopulorum","56","flower","","14",7,2009,"2009-07-14",2009195,195,"PP","PP4",3831,"38.82228",-105.03993,"COLO","specimen",48.96666667,6.573333333,"summer","summer115",115
"20","Artemisia scopulorum","11","flower","","14",7,2009,"2009-07-14",2009195,195,"PP","PP4",3793,"38.824991",-105.04497,"DBG","specimen",48.96666667,6.573333333,"summer","summer115",115
"21","Artemisia scopulorum","56","flower","","14",7,2009,"2009-07-14",2009195,195,"PP","PP4",3831,"38.824154",-105.03993,"DBG","specimen",48.96666667,6.573333333,"summer","summer115",115
"22","Artemisia scopulorum","93","flower","","16",7,2009,"2009-07-16",2009197,197,"PP","PP5",3602,"38.809388",-105.02659,"DBG","specimen",48.96666667,6.573333333,"summer","summer115",115
"23","Artemisia scopulorum","6038","flower","","22",6,2012,"2012-06-22",2012174,174,"MBS","MBS3",3914,"39.6008",-105.64127,"DBG","specimen",50.03333333,0.5,"summer","summer118",118
"24","Artemisia scopulorum","21","flower","","10",7,2012,"2012-07-10",2012192,192,"MBS","MBS3",3704,"39.6328",-105.604,"DBG","specimen",51.06666667,5.85,"summer","summer118",118
"25","Artemisia scopulorum","33","flower","","11",9,2012,"2012-09-11",2012255,255,"MBS","MBS3",3704,"39.6328",-105.604,"DBG","specimen",42.36666667,1.616666667,"fall","fall118",118
"26","Artemisia scopulorum","13668498","flower","https://www.inaturalist.org/observations/13668498","21",6,2018,"2018-06-21",2018172,172,"MBS","MBS2",4025,"39.58190201",-105.6781214,"iNaturalist","observation",49.36666667,1.176666667,"summer","summer124",124
"27","Artemisia scopulorum","32355288","flower","https://www.inaturalist.org/observations/32355288","1",7,2018,"2018-07-01",2018182,182,"MBS","MBS4",3615,"39.63788139",-105.5980724,"iNaturalist","observation",52.4,3.533333333,"summer","summer124",124
"28","Artemisia scopulorum","69091622","flower","https://www.inaturalist.org/observations/69091622","2",8,2018,"2018-08-02",2018214,214,"MBS","MBS1",4292,"39.586773",-105.642597,"iNaturalist","observation",49.53333333,0.983333333,"summer","summer124",124
"29","Artemisia scopulorum","AS-187","flower","","24",7,2019,"2019-07-24",2019205,205,"MBS","MBS2",3932,"39.60015",-105.63919,"DBG","specimen",51.7,2.36,"summer","summer125",125
"30","Artemisia scopulorum","70854513","flower","https://www.inaturalist.org/observations/70854513","4",8,2019,"2019-08-04",2019216,216,"MBS","MBS2",4047,"39.604809",-105.633324,"iNaturalist","observation",50.83333333,1.703333333,"summer","summer125",125
"31","Artemisia scopulorum","52904653","flower","https://www.inaturalist.org/observations/52904653","12",7,2020,"2020-07-12",2020194,194,"MBS","MBS4",3625,"39.62368377",-105.6225791,"iNaturalist","observation",51,2.57,"summer","summer126",126
"32","Artemisia scopulorum","53612600","flower","https://www.inaturalist.org/observations/53612600","13",7,2020,"2020-07-13",2020195,195,"PP","PP2",3966,"38.86415",-105.0706111,"iNaturalist","observation",49.2,4.083333333,"summer","summer126",126
"33","Artemisia scopulorum","88534374","flower","https://www.inaturalist.org/observations/88534374","23",7,2021,"2021-07-23",2021204,204,"MBS","MBS2",4022,"39.604309",-105.632607,"iNaturalist","observation",51.63333333,2.546666667,"summer","summer127",127
"34","Artemisia scopulorum","89154318","flower","https://www.inaturalist.org/observations/89154318","28",7,2021,"2021-07-28",2021209,209,"PP","PP4",3941,"38.864475",-105.0693972,"iNaturalist","observation",52.8,4.6,"summer","summer127",127
"35","Artemisia scopulorum","90039040","flower","https://www.inaturalist.org/observations/90039040","2",8,2021,"2021-08-02",2021214,214,"PP","PP4",3952,"38.86206389",-105.0671167,"iNaturalist","observation",52.33333333,2.796666667,"summer","summer127",127
"36","Artemisia scopulorum","90039123","flower","https://www.inaturalist.org/observations/90039123","2",8,2021,"2021-08-02",2021214,214,"PP","PP4",3953,"38.85912778",-105.0677111,"iNaturalist","observation",52.33333333,2.796666667,"summer","summer127",127
"37","Artemisia scopulorum","149056106","flower","https://www.inaturalist.org/observations/149056106","8",7,2022,"2022-07-08",2022189,189,"MBS","MBS3",3717,"39.631424",-105.60598,"iNaturalist","observation",51.26666667,3.486666667,"summer","summer128",128
"38","Artemisia scopulorum","149057260","flower","https://www.inaturalist.org/observations/149057260","8",7,2022,"2022-07-08",2022189,189,"MBS","MBS4",3699,"39.632687",-105.605293,"iNaturalist","observation",51.26666667,3.486666667,"summer","summer128",128
"39","Artemisia scopulorum","128361415","flower","https://www.inaturalist.org/observations/128361415","27",7,2022,"2022-07-27",2022208,208,"MBS","MBS2",3949,"39.593075",-105.6358867,"iNaturalist","observation",51.26666667,3.486666667,"summer","summer128",128
"40","Artemisia scopulorum","131631377","flower","https://www.inaturalist.org/observations/131631377","12",8,2022,"2022-08-12",2022224,224,"MBS","MBS4",3618,"39.640573",-105.602114,"iNaturalist","observation",48.86666667,4.406666667,"summer","summer128",128
